sudo ip link set can0 type can bitrate 250000
sudo ip link set can0 up
ros2 launch robotcan_gui robotcan_gui.launch.py
ros2 run robotcan gps_10_move --ros-args -p navpvt_topic:=/robot_gps_node/navpvt -p stop_radius_m:=2. -p steering_kp:=0.8 -p max_steering_deg:=10. -p target_distance_m:=10.





[INFO] [1786444553.012406423] [gps_10m_move_node]: Move: travelled=1.50 m, remaining=8.50 m, direction=F, steering=0 deg
[INFO] [1786444554.012443382] [gps_10m_move_node]: Move: travelled=1.54 m, remaining=8.46 m, direction=F, steering=0 deg
[INFO] [1786444555.012524147] [gps_10m_move_node]: Move: travelled=1.57 m, remaining=8.44 m, direction=F, steering=0 deg
[INFO] [1786444556.012567212] [gps_10m_move_node]: Move: travelled=1.60 m, remaining=8.40 m, direction=F, steering=0 deg
[INFO] [1786444557.012710025] [gps_10m_move_node]: Move: travelled=1.64 m, remaining=8.36 m, direction=F, steering=0 deg
[INFO] [1786444558.012769055] [gps_10m_move_node]: Move: travelled=1.68 m, remaining=8.32 m, direction=F, steering=0 deg
[INFO] [1786444559.012904378] [gps_10m_move_node]: Move: travelled=1.72 m, remaining=8.29 m, direction=F, steering=0 deg
[INFO] [1786444560.212938737] [gps_10m_move_node]: Move: travelled=1.77 m, remaining=8.23 m, direction=F, steering=0 deg
[INFO] [1786444561.213561549] [gps_10m_move_node]: Move: travelled=1.81 m, remaining=8.20 m, direction=F, steering=0 deg
[INFO] [1786444562.213760457] [gps_10m_move_node]: Move: travelled=1.84 m, remaining=8.16 m, direction=F, steering=0 deg
[INFO] [1786444563.413194656] [gps_10m_move_node]: Move: travelled=1.89 m, remaining=8.12 m, direction=F, steering=0 deg
[INFO] [1786444564.413296309] [gps_10m_move_node]: Move: travelled=1.91 m, remaining=8.10 m, direction=F, steering=0 deg
[INFO] [1786444565.413314472] [gps_10m_move_node]: Move: travelled=1.93 m, remaining=8.07 m, direction=F, steering=0 deg
[INFO] [1786444566.413421478] [gps_10m_move_node]: Move: travelled=1.97 m, remaining=8.03 m, direction=F, steering=0 deg
[INFO] [1786444567.413455045] [gps_10m_move_node]: Move: travelled=2.00 m, remaining=8.00 m, direction=F, steering=0 deg
[INFO] [1786444568.413931723] [gps_10m_move_node]: Move: travelled=2.03 m, remaining=7.97 m, direction=F, steering=0 deg
[INFO] [1786444569.613887236] [gps_10m_move_node]: Move: travelled=2.06 m, remaining=7.95 m, direction=F, steering=0 deg
[INFO] [1786444570.813909984] [gps_10m_move_node]: Move: travelled=2.07 m, remaining=7.93 m, direction=F, steering=0 deg
[INFO] [1786444572.014401948] [gps_10m_move_node]: Move: travelled=2.11 m, remaining=7.89 m, direction=F, steering=0 deg
[INFO] [1786444573.213902221] [gps_10m_move_node]: Move: travelled=2.18 m, remaining=7.82 m, direction=F, steering=0 deg
[INFO] [1786444574.214423823] [gps_10m_move_node]: Move: travelled=2.21 m, remaining=7.79 m, direction=F, steering=0 deg
[INFO] [1786444575.414013104] [gps_10m_move_node]: Move: travelled=2.23 m, remaining=7.77 m, direction=F, steering=0 deg
[INFO] [1786444576.414193964] [gps_10m_move_node]: Move: travelled=2.27 m, remaining=7.73 m, direction=F, steering=0 deg
[INFO] [1786444577.414253548] [gps_10m_move_node]: Move: travelled=2.31 m, remaining=7.69 m, direction=F, steering=0 deg
[INFO] [1786444578.414296792] [gps_10m_move_node]: Move: travelled=2.35 m, remaining=7.66 m, direction=F, steering=0 deg
